"region","km2","year","pop","density"
"New South Wales",800808.8,2005,6693206,8.35805750386359
"Victoria",227495.7,2005,4989246,21.9311661714925
"Queensland",1729958,2005,3918494,2.26508042391781
"South Australia",984179.4,2005,1538804,1.56354014318934
"Western Australia",2526574,2005,2011207,0.796021410811637
"Tasmania",68018.2,2005,486202,7.14811623947708
"Northern Territory",1348199,2005,205905,0.152725969979209
"Australian Capital Territory",2357.9,2005,331399,140.548369311676
"TOTAL AUSTRALIA",7687591,2005,20174463,2.62428932548571
"New South Wales",800808.8,2006,6742690,8.41985003161803
"Victoria",227495.7,2006,5061266,22.2477435837249
"Queensland",1729958,2006,4007992,2.31681462786958
"South Australia",984179.4,2006,1552529,1.57748577139493
"Western Australia",2526574,2006,2050581,0.811605359668864
"Tasmania",68018.2,2006,489302,7.19369227647894
"Northern Territory",1348199,2006,209057,0.155063903770882
"Australian Capital Territory",2357.9,2006,335170,142.147673777514
"TOTAL AUSTRALIA",7687591,2006,20448587,2.65994730989201
"New South Wales",800808.8,2007,6834156,8.53406705820415
"Victoria",227495.7,2007,5153522,22.6532721277809
"Queensland",1729958,2007,4111018,2.37636867484644
"South Australia",984179.4,2007,1570619,1.59586656660361
"Western Australia",2526574,2007,2106139,0.833594820496055
"Tasmania",68018.2,2007,493262,7.25191198826197
"Northern Territory",1348199,2007,213748,0.15854336043863
"Australian Capital Territory",2357.9,2007,342644,145.317443487849
"TOTAL AUSTRALIA",7687591,2007,20825108,2.70892507158614
"New South Wales",800808.8,2008,6943461,8.67056031352303
"Victoria",227495.7,2008,5256375,23.1053817720511
"Queensland",1729958,2008,4219505,2.43907944585938
"South Australia",984179.4,2008,1588665,1.61420265451604
"Western Australia",2526574,2008,2171700,0.859543397501914
"Tasmania",68018.2,2008,498568,7.32992052127225
"Northern Territory",1348199,2008,219874,0.16308720003501
"Australian Capital Territory",2357.9,2008,348368,147.74502735485
"TOTAL AUSTRALIA",7687591,2008,21246516,2.76374172351261
"New South Wales",800808.8,2009,7053755,8.80828857025547
"Victoria",227495.7,2009,5371934,23.6133430214285
"Queensland",1729958,2009,4328771,2.5022405168218
"South Australia",984179.4,2009,1608902,1.63476496256678
"Western Australia",2526574,2009,2240250,0.8866749994261
"Tasmania",68018.2,2009,504353,7.41497128709669
"Northern Territory",1348199,2009,226027,0.167651066348514
"Australian Capital Territory",2357.9,2009,354785,150.466516815811
"TOTAL AUSTRALIA",7687591,2009,21688777,2.82127092869535
"New South Wales",800808.8,2010,7144292,8.9213455196796
"Victoria",227495.7,2010,5461101,24.0052932868621
"Queensland",1729958,2010,4404744,2.54615661189462
"South Australia",984179.4,2010,1627322,1.65348106249735
"Western Australia",2526574,2010,2290845,0.906700140189838
"Tasmania",68018.2,2010,508847,7.48104183880197
"Northern Territory",1348199,2010,229778,0.170433296568237
"Australian Capital Territory",2357.9,2010,361766,153.427202171424
"TOTAL AUSTRALIA",7687591,2010,22028695,2.86548738089734
"New South Wales",800808.8,2011,7218529,9.01404804742405
"Victoria",227495.7,2011,5537817,24.3425128474956
"Queensland",1729958,2011,4476778,2.58779577307657
"South Australia",984179.4,2011,1639614,1.66597065535003
"Western Australia",2526574,2011,2353409,0.931462525934328
"Tasmania",68018.2,2011,511483,7.51979617220097
"Northern Territory",1348199,2011,231292,0.171556276187714
"Australian Capital Territory",2357.9,2011,367985,156.064718605539
"TOTAL AUSTRALIA",7687591,2011,22336907,2.90557952419685
"New South Wales",800808.8,2012,7307183,9.12475362408605
"Victoria",227495.7,2012,5632521,24.7588020345
"Queensland",1729958,2012,4568205,2.6406450330008
"South Australia",984179.4,2012,1656035,1.68265562152591
"Western Australia",2526574,2012,2437994,0.964940666689359
"Tasmania",68018.2,2012,512106,7.5289554854436
"Northern Territory",1348199,2012,235881,0.174960076368548
"Australian Capital Territory",2357.9,2012,375183,159.117435005725
"TOTAL AUSTRALIA",7687591,2012,22725108,2.95607661749955
"New South Wales",800808.8,2013,7407063,9.24947752821897
"Victoria",227495.7,2013,5733545,25.2028719663712
"Queensland",1729958,2013,4651359,2.68871209590059
"South Australia",984179.4,2013,1670274,1.69712351223771
"Western Australia",2526574,2013,2515387,0.995572265051409
"Tasmania",68018.2,2013,513067,7.54308405691418
"Northern Territory",1348199,2013,242569,0.179920768373215
"Australian Capital Territory",2357.9,2013,380914,161.547987616099
"TOTAL AUSTRALIA",7687591,2013,23114178,3.00668675011457
"New South Wales",800808.8,2014,7513418,9.38228700783508
"Victoria",227495.7,2014,5838110,25.6625070276054
"Queensland",1729958,2014,4719925,2.72834658413672
"South Australia",984179.4,2014,1685550,1.71264507263615
"Western Australia",2526574,2014,2557046,1.01206060063944
"Tasmania",68018.2,2014,514726,7.56747458768389
"Northern Territory",1348199,2014,243368,0.180513410854036
"Australian Capital Territory",2357.9,2014,385346,163.42762627762
"TOTAL AUSTRALIA",7687591,2014,23457489,3.05134456294566
"New South Wales",800808.8,2015,7617684,9.51248787475862
"Victoria",227495.7,2015,5937481,26.0993108880739
"Queensland",1729958,2015,4778854,2.76241041690029
"South Australia",984179.4,2015,1698660,1.72596581476914
"Western Australia",2526574,2015,2590259,1.02520606956297
"Tasmania",68018.2,2015,516586,7.594820209885
"Northern Territory",1348199,2015,244307,0.181209895571796
"Australian Capital Territory",2357.9,2015,390706,165.700835489206
"TOTAL AUSTRALIA",7687591,2015,23774537,3.09258609101343
